Category,Skills
data analyst,"matplotlib, data warehousing, machine learning, data automation, data reporting, tensorflow, statistics, sql queries, numpy"
cloud engineer,"cloud computing, big data on cloud, ci/cd, vpc, cloud design patterns, cloud databases, cloud performance, cloud compliance, aws"
network engineer,"azure networking, ubiquiti networks, network infrastructure, linux, network automation, network performance optimization, wireshark, bgp, network testing, network security"
database developer,"distributed databases, mysql, jdbc, data management, data migration"
ui/ux designer,"prototype testing, icon design, ux/ui accessibility, zeplin, prototyping tools, responsive design, illustrator, material design, mobile ux"
data scientist,"dimensional modeling, random forest, clustering, python, multivariate analysis"
machine learning,"computer vision, lightgbm, numpy, natural language processing (nlp), reinforcement learning"
information technology,"tcp/ip, citrix, scripting, docker, software updates, aws, kubernetes, google cloud, vpn configuration, network configuration"
mobile application developer,"mobile sdk, app caching, core data, cocoapods, app security, xamarin, app distribution"
cyber security,"security incident management, vpn, application security, splunk, compliance, owasp"
iot developer,"iot cloud analytics, fog computing, spi, data streaming, vhdl, real-time systems"
iot developer,"c++, embedded systems design, blockchain (iot), microcontrollers, data visualization, ai integration in iot, artificial intelligence (ai), iot application development"
software engineer,"tls/ssl, kafka, azure, jenkins, spark, opencv, real-time operating systems, mongodb, firebase, docker"
machine learning,"data cleaning, speech recognition, ensemble methods, xgboost, recurrent neural networks (rnn), nlp techniques, supervised learning, data wrangling, federated learning, lightgbm"
cloud engineer,"security groups, cloud automation, aws ec2, cloud cdn, cloud identity management, scripting, cloud migration, cloud computing"
artificial intelligence,"random forest, ai algorithms, azure ai, hadoop, ai for healthcare, lightgbm"
software engineer,"angular, jira, security, ui/ux design, sql, kotlin, rest apis, css, etl, confluence"
web developer,"ssl/tls, webpack, typescript, rest apis, wireframing, git, apache, wordpress, invision"
artificial intelligence,"dimensionality reduction, support vector machines (svm), generative models, data visualization, cloud computing, ai for finance, ai software development"
backend developer,"jwt authentication, junit testing, app performance optimization, elasticsearch, rest apis, spring cloud"
full stack developer,"scrum, mysql, cross-browser compatibility, graphql, kubernetes, docker"
full stack developer,"graphql, functional programming, graphql apis, mobile application development, nosql, scrum, database design"
backend developer,"junit, api gateway, api documentation, test automation, distributed caching, aws lambda, mongodb atlas"
machine learning,"data cleaning, model optimization, logistic regression, machine learning operations (mlops), tensorflow, speech recognition, pandas"
big data engineer,"java mapreduce, java, apache nifi, data architecture, hadoop security, yarn, nosql, python, mapreduce, graph databases"
information technology,"firewall management, application development, data backup, web servers, nginx, python"
ui/ux designer,"mobile app design, wireframes, design systems, wireframe tools, user interface guidelines, illustrator, user research, css flexbox, wireframe sketches"
web developer,"mocha, cross-browser compatibility, mockups, firebase, web hosting, seo, ruby, serverless architecture, graphql"
machine learning,"lightgbm, data engineering, computer vision, ml algorithms, ensemble methods, reinforcement learning algorithms, pytorch, text classification"
big data engineer,"cloud storage, aws kinesis, data lake, aws emr, batch processing, data management tools"
machine learning,"kubernetes, artificial intelligence, random forest, r, ai"
information technology,"chef, powershell, it security, git, jenkins, ci/cd, voip, storage solutions, system administration"
network engineer,"network configuration, ipv4, ubiquiti networks, vlans, mpls, site-to-site vpn, ip addressing, ospf"
machine learning,"scikit-learn, convolutional neural networks (cnn), data wrangling, model deployment, data science, ai frameworks, docker, supervised learning, deep learning"
backend developer,"microservices architecture, service-oriented architecture, git, aws, unit testing, java, mysql"
mobile application developer,"mobile sdk, ui/ux prototyping, app caching, in-app purchases, xcode, testflight, app updates, core data"
full stack developer,"jest, scrum, git, devops, redux, backend architecture, docker, bootstrap"
artificial intelligence,"gans, nlp, speech recognition, catboost, python, ai productization, transfer learning, ai in security, artificial neural networks (ann)"
software engineer,"numpy, jenkins, html, ui/ux design, spring boot"
ui/ux designer,"user interface guidelines, prototyping, sketch, user-centered design, storytelling, typography, ux/ui strategy, information architecture, css flexbox"
full stack developer,"azure, java, mobile web development, bootstrap, agile, c#, express.js, redux, backend architecture, node.js"
software engineer,"node.js, java, gcp, mysql, sql, restful apis, raspberry pi, jpa"
cyber security,"owasp, incident response, mobile device management (mdm), cloud access security broker (casb), windows security, pentest, vulnerability management, owasp top 10, rhel security"
web developer,"express.js, cross-browser compatibility, authentication, back-end frameworks, html5, nginx, mongodb, vercel"
data analyst,"data cleansing, power query, data modeling, data science, rstudio, market research"
artificial intelligence,"ai for business intelligence, ai algorithms, natural language processing, ai model deployment, computer vision algorithms, computer vision, matplotlib, convolutional neural networks (cnn), ai frameworks"
cyber security,"kali linux, pentest, incident response, xss, security tools"
iot developer,"iot data protocols, iot solutions, embedded linux, real-time systems, iot protocols, microcontrollers, embedded systems design, azure iot, fog computing"
information technology,"firewall configuration, jenkins, server virtualization, application development, managed services"
web developer,"heroku, jwt, ajax, aws, invision, magento, sublime text, mongodb, jquery, github"
network engineer,"network protocols, data center networking, azure networking, aws networking, ipsec"
data analyst,"statistics, sql queries, jupyter notebooks, snowflake, market research, data pipeline, matplotlib"
machine learning,"transfer learning, aws sagemaker, numpy, model interpretability, logistic regression"
machine learning,"ml systems, pytorch, generative adversarial networks (gans), r, support vector machines (svm), ai models, data visualization, lightgbm"
ui/ux designer,"illustrator, sketch, ux principles, a/b testing, ux/ui methodologies, user research, user interface guidelines, color theory, behavioral design, invision"
cloud engineer,"terraform, automation, iam, cloud management, aws ec2, cloud monitoring, cloud performance, cloud infrastructure"
data scientist,"unsupervised learning, spark, natural language processing (nlp), deep learning, dimensional modeling, sql, data mining"
iot developer,"device connectivity, data mining, edge-to-cloud communication, json, spi, iot security, iot solutions, iot data processing, ai algorithms, zigbee"
artificial intelligence,"deep learning algorithms, ai productization, natural language processing, gans, ai model interpretability, machine learning operations (mlops), aws, artificial neural networks (ann), bayesian inference"
software engineer,"restful apis, security, azure, machine learning, websockets, test automation, penetration testing, redis"
machine learning,"transfer learning, data engineering, data visualization, kubernetes, federated learning"
machine learning,"tensorflow, ensemble methods, model deployment, data engineering, lightgbm, model training, federated learning"
big data engineer,"etl, nosql, cassandra, apache nifi, real-time processing, distributed data systems"
mobile application developer,"app performance optimization, continuous integration, objective-c, app deployment, sqlite, mobile app prototyping, app caching, cloud integration, json"
data analyst,"seaborn, kaggle, data wrangling, big data, data interpretation, power pivot, a/b testing, data modeling, database management, data reporting"
cyber security,"cisa, redhat security, threat hunting, aws security, fireeye, incident response, identity and access management (iam), red teaming, cloud security, cissp"
ui/ux designer,"storytelling, ux analytics, ux/ui methodologies, icon design, prototyping, user interface optimization, jira, ui/ux best practices, miro"
full stack developer,"containerization, mobile web development, behavior-driven development, babel, python, node package manager (npm), web performance optimization, vue.js, unit testing, scrum"
artificial intelligence,"ai-driven analytics, model evaluation, reinforcement learning algorithms, matplotlib, machine learning, supervised learning, ai in iot, dimensionality reduction, ai for business intelligence, neural networks"
backend developer,"nginx, ruby, redis, cloud infrastructure, apis"
software engineer,"hadoop, sql, terraform, kotlin, github"
data scientist,"neural networks, svm, ai algorithms, pytorch, data visualization, deep learning algorithms, azure, google cloud platform"
network engineer,"cisco ccie, network testing, vpn, network automation, network redundancy, scripting, dns"
machine learning,"data science, support vector machines (svm), hyperparameter tuning, pca (principal component analysis), data engineering, python, unsupervised learning, mlflow, nlp techniques, linear regression"
artificial intelligence,"model evaluation, matplotlib, tensorflow, ai for business intelligence, text mining, speech recognition, ai productization, data science"
software engineer,"javascript (typescript), network security, mysql, aws, data analysis"
full stack developer,"jquery, linux, graphql, go, test-driven development, web development, database design, angular, typescript"
machine learning,"ml algorithms, mlflow, pandas, model deployment, supervised learning, generative adversarial networks (gans), docker"
iot developer,"iot security, json, wi-fi, model-based design, device-to-cloud integration, firmware development, big data analytics"
network engineer,"traffic analysis, ssl vpn, voip, data center networking, linux, firewalls, network scaling"
information technology,"git, itil, server configuration, tcp/ip, voip"
network engineer,"data center networking, network performance optimization, vlans, vpn, cloud networking, network load balancing, routing tables, site-to-site vpn"
iot developer,"big data analytics, bluetooth low energy (ble), communication protocols, data mining, machine learning, device connectivity, wireless sensor networks, model-based design, iot hardware, c++"
iot developer,"rest apis, firmware development, edge computing, lorawan, communication protocols"
data scientist,"tableau, natural language processing (nlp), sql, pandas, statistical modeling, etl, cross-validation, bayesian inference"
data analyst,"data modeling, data reporting, data wrangling, numpy, google bigquery, sql queries, data science"
software engineer,"c#, embedded linux, kotlin, scikit-learn, graphql, java, pytorch, data analysis, postgresql"
data analyst,"statistical analysis, data automation, data pipeline, machine learning, power query"
database developer,"data modeling, database clustering, api integration, data warehousing, pl/sql, google bigquery, big data"
full stack developer,"cloud development, angular, scrum, firebase, linux, docker"
backend developer,"behavior-driven development, docker compose, algorithms, aws, distributed systems, serverless, linux, python, event-driven architecture, database management"
web developer,"wireframing, performance optimization, rest apis, back-end frameworks, progressive web apps"
full stack developer,"c#, php, ci/cd, mobile web development, go, gcp, webpack, oauth"
machine learning,"edge ai, logistic regression, r, federated learning, model training, scikit-learn"
ui/ux designer,"ui/ux strategy, user journey, persona development, jira, ux analytics, interaction design, svg, accessibility standards, wireframes, ux/ui accessibility"
machine learning,"ai, recurrent neural networks (rnn), classification algorithms, docker, pandas, random forest, data visualization, neural networks, ml algorithms"
big data engineer,"data management tools, data integration, data cleansing, pig, sql-on-hadoop, data governance, mongodb, java, data storage"
data scientist,"ai, matplotlib, tensorflow, neural networks, sql optimization, reinforcement learning, feature engineering"
full stack developer,"unit testing, svelte, cross-browser compatibility, graphql apis, web performance optimization, web development, sass, aws"
network engineer,"wide area networks, firewall configuration, cisco ccnp, ntp, wireless standards, palo alto networks, network monitoring"
web developer,"webpack, docker, version control, nginx, material ui, github, drupal, django, back-end frameworks"
cyber security,"cissp, pentest, cve, windows security, dlp, burp suite, metasploit, firewalls configuration, cloud security, pci dss"
network engineer,"ipsec, access control lists (acls), python, network virtualization, network monitoring, network performance optimization, powershell, network hardware"
big data engineer,"data analytics, cassandra, batch processing, data redundancy, nosql databases, big data analytics, spark, real-time processing, data transformation, hadoop ecosystem"
artificial intelligence,"cloud-based ai, text mining, lightgbm, computer vision, ai software development, quantum ai"
network engineer,"gcp networking, qos, wireless standards, network backbone, ospf, cloud networking, routing"
full stack developer,"ux/ui prototyping, scrum, websockets, php, microservices, css3, node package manager (npm), angular"
database developer,"data transformation, t-sql, couchdb, odbc, data warehousing"
network engineer,"ubiquiti networks, cisco ccie, network hardware, cisco asa, network testing, juniper networks"
software engineer,"embedded linux, trello, selenium, redis, kafka, jenkins, gcp, monitoring, pandas, react"
ui/ux designer,"persona development, material design, javascript, interaction design, design systems, ux/ui accessibility"
mobile application developer,"in-app purchases, automated testing, user authentication, mobile analytics, ui/ux design, app analytics, ios sdk, xamarin, cross-platform development"
software engineer,"distributed systems, redis, docker, real-time operating systems, firebase, tls/ssl, machine learning, objective-c"
data analyst,"sql reporting, text analytics, pandas, data integration, power pivot"
full stack developer,"web performance optimization, database design, svelte, cross-browser compatibility, nosql, angular, jest, oauth, graphql apis, typescript"
data scientist,"h2o.ai, scikit-learn, feature engineering, modeling, big data, hyperparameter tuning"
cyber security,"ethical hacking, blue teaming, gcp security, security patch management, linux security, red teaming, owasp top 10"
network engineer,"bandwidth management, linux, routing devices, packet loss, network testing, ipsec"
cyber security,"kali linux, windows security, encryption, security tools, apt, data loss prevention, it governance, xss, security incident management"
software engineer,"azure, embedded linux, pandas, spring boot, rest apis, aws, blockchain, mongodb"
information technology,"cloud computing, system administration, it security, hardware installation, network monitoring, bash scripting, mongodb, sql server"
data analyst,"data analytics, statistics, data pipeline, sql server, matplotlib"
database developer,"power bi, couchdb, distributed databases, data management, cloud databases, database scaling, t-sql, database partitioning, odbc"
iot developer,"iot system architecture, iot device security, iot protocols, bluetooth, fog computing, edge-to-cloud communication, lte, esp32, cloud platforms"
full stack developer,"babel, node.js, css3, aws, frontend frameworks, javascript, docker"
iot developer,"device-to-cloud integration, ai algorithms, data storage, device connectivity, data mining"
cyber security,"security policies, dlp, ids/ips, windows security, web application security, iso 27001, cyber risk assessment, splunk, cisco security"
information technology,"o365 administration, business continuity, managed services, vmware vsphere, mongodb, it security"
information technology,"voip, disaster recovery, backup solutions, load balancing, nginx, windows server, jenkins, web servers"
backend developer,"algorithms, test automation, redis streams, php, continuous deployment, server-side programming"
data scientist,"clustering, modeling, artificial intelligence, deep reinforcement learning, ai algorithms, sql, data visualization, data cleaning, jupyter notebooks, data modeling"
software engineer,"opencv, kafka, machine learning, spark, graphql, javascript, spring boot, javascript (typescript), swift, mongodb"
full stack developer,"frontend frameworks, web development, rest apis, jwt, mongodb, cross-browser compatibility, web performance optimization"
artificial intelligence,"edge ai, natural language understanding (nlu), ai in security, pytorch, machine learning, ai for business intelligence, cloud-based ai, catboost"
iot developer,"5g, embedded software, data storage, ai integration in iot, python, data visualization"
database developer,"database optimization, replication, database security, sharding, nosql"
web developer,"express.js, ssl/tls, azure, graphql, ruby, typescript, material ui, back-end frameworks"
cloud engineer,"cloud integration, cloud databases, cloud orchestration, git, aws lambda"
database developer,"python, mongodb atlas, database clustering, data management, oracle, data structures, dynamodb, data migration, odbc"
big data engineer,"data transformation, data governance, apache nifi, aws kinesis, data lake, database management, data streaming, hadoop ecosystem, cloud storage, data pipeline automation"
web developer,"invision, magento, angular, python, chai"
software engineer,"git, firebase, distributed systems, swiftui, rest apis, angular, react"
machine learning,"speech recognition, ml systems, classification algorithms, artificial intelligence, model training, model evaluation, natural language understanding (nlu)"
database developer,"big data, oracle, database query optimization, data storage solutions, jdbc, nosql, mongodb"
database developer,"xml, dax, api integration, data replication, data management, data integrity, data storage solutions, olap, python"
software engineer,"scikit-learn, java, firebase, c#, scrum, pandas, trello, pytorch, rest apis"
full stack developer,"devops, database design, responsive design, azure, cloud functions"
iot developer,"microcontrollers, embedded c, c, firmware development, bluetooth, embedded linux, arduino, mqtt, zigbee, thingspeak"
database developer,"nosql databases, rdbms, replication, dax, cloud database, mongodb, big data"
artificial intelligence,"ai in autonomous vehicles, recurrent neural networks (rnn), automl, convolutional neural networks (cnn), ai in iot, artificial neural networks (ann), data science"
information technology,"servicenow, firewall configuration, incident management, scripting, cloud security, server virtualization, mongodb, system monitoring, networking"
big data engineer,"mongodb, graph databases, data modeling, data warehousing, hadoop security, elasticsearch, big data querying, apache flink"
web developer,"typescript, drupal, html5, mocha, seo optimization, visual studio code, magento"
web developer,"netlify, django, wordpress, ux/ui design, webpack, css3, version control"
database developer,"cassandra, couchdb, data migration strategy, database design, database troubleshooting"
big data engineer,"hdfs, sql-on-hadoop, spark, data redundancy, java, azure, data cleansing, real-time analytics, spark streaming"
artificial intelligence,"scikit-learn, data wrangling, ai-driven analytics, ai in iot, robotic process automation (rpa), big data, adversarial networks, catboost, logistic regression, ai for finance"
data analyst,"data collection, matplotlib, python libraries, google analytics, etl, tensorflow, data visualization, data integration, data interpretation"
ui/ux designer,"ux analytics, trello, ui design, figma, jira, design thinking, customer experience, wireframing"
software engineer,"aws, jpa, machine learning, etl, javascript (typescript), c#, kubernetes, real-time operating systems, tensorflow, tls/ssl"
backend developer,"unit testing, elasticsearch, redis, go, rest apis"
network engineer,"bandwidth management, python, wide area networks, network load balancing, firewalls"
information technology,"managed services, networking, citrix, data center management, windows os, cloud deployment, c#, ci/cd, business continuity"
mobile application developer,"app refactoring, android jetpack, mobile app backend, native app development, jira, push notifications, cloud integration"
software engineer,"blockchain, kubernetes, docker, oauth, jira, websockets, kafka, github"
machine learning,"model training, transfer learning, time series forecasting, pca (principal component analysis), artificial intelligence, supervised learning"
machine learning,"text classification, pytorch, model deployment, time series forecasting, neural networks, unsupervised learning, natural language understanding (nlu), ai models, h2o.ai, knn"
ui/ux designer,"css flexbox, zeplin, invision, wireframing, color theory, market research, adobe xd, css grid, marvel, mobile ux"
cyber security,"cloud access security broker (casb), system hardening, security auditing, dlp, security automation, ids/ips, firewalls, owasp top 10"
mobile application developer,"app customization, app updates, android sdk, app monetization, flutter, google play store"
big data engineer,"spark streaming, real-time processing, data processing, data storage, sql-on-hadoop, big data security, data cleansing, data streaming"
web developer,"ux/ui design, front-end frameworks, node.js, javascript, ssl/tls, test automation, webpack, cms development"
iot developer,"raspberry pi, google cloud iot, artificial intelligence (ai), data mining, http, 5g, python, ai integration in iot"
software engineer,"real-time operating systems, jira, network security, css, numpy, tls/ssl, bash, restful apis, pandas"
machine learning,"ai models, clustering, gradient boosting, data wrangling, support vector machines (svm), aws sagemaker, linear regression, edge ai"
big data engineer,"big data cloud services, pig, etl tools, distributed computing, spark streaming, spark, data engineering, google cloud platform"
network engineer,"network performance optimization, wireless networks, vpn tunnels, wi-fi, network simulation, qos, ipsec, network management"
network engineer,"qos, wireless standards, tcp/ip, wide area networks, network topology, traffic analysis, packet loss, network infrastructure, dhcp"
machine learning,"apache spark, machine learning operations (mlops), keras, r, ml systems"
full stack developer,"bootstrap, node package manager (npm), aws, redux, mobile web development, cloud development, angular, web performance optimization"
mobile application developer,"code review, app distribution, objective-c, ui/ux prototyping, version control, mobile ui design"
software engineer,"mongodb, bash, test automation, azure, cloudformation, gcp, graphql, distributed systems, rest apis, sql"
data scientist,"computer vision, data mining, python, hadoop, bayesian inference, text mining, apache kafka"
full stack developer,"express.js, devops, jest, react, behavior-driven development"
software engineer,"postgresql, mysql, java, test automation, selenium"
network engineer,"qos, wireless networks, vpn tunnels, ipv6, network performance optimization, cisco ccna, access control lists (acls)"
information technology,"incident management, virtual private network (vpn), itil, business continuity, database management, sql queries, aws ec2, system administration"
web developer,"css flexbox, back-end frameworks, postgresql, cross-browser compatibility, visual studio code, mysql, mocha"
database developer,"database security, data storage solutions, sql, data analysis, oracle, graph databases, data management"
artificial intelligence,"ai in iot, big data, ai for finance, ai in gaming, cloud-based ai, ai in security, random forest, robotic process automation (rpa), data wrangling"
full stack developer,"ui/ux design, test-driven development, mobile web development, express.js, php, unit testing, css3, devops, react, redux"
backend developer,"microservices architecture, aws, behavior-driven development, unit testing, apache kafka, mysql, jwt authentication"
iot developer,"data storage, iot data processing, bluetooth low energy (ble), artificial intelligence (ai), lte, rtos, iot device security, iot cloud platforms, ai in iot"
software engineer,"mongodb, jira, javascript (typescript), network security, confluence, aws, blockchain, hadoop, python"
machine learning,"artificial intelligence, docker, pca (principal component analysis), text classification, computer vision"
artificial intelligence,"natural language processing, data visualization, ai model interpretability, convolutional neural networks (cnn), ai frameworks, ai for robotics, python, ai-based optimization"
data scientist,"sql queries, machine learning, etl, collaborative filtering, unsupervised learning, clustering, data modeling"
backend developer,"elasticsearch, junit, ci/cd pipeline, database troubleshooting, github, database optimization, data modeling"
network engineer,"virtual lans (vlans), dns, network design, nat, routing protocols, remote access networks, network troubleshooting tools, network security"
ui/ux designer,"svg, css grid, invision, customer experience, ux/ui accessibility, storytelling"
mobile application developer,"code review, dart, cross-platform development, ios sdk, cloud integration"
software engineer,"nosql, react, linux, agile, penetration testing, etl, mongodb, confluence"
database developer,"data replication, data transformation, database optimization, database security, distributed databases"
data scientist,"algorithm development, random forest, tableau, statistical modeling, optimization, ai algorithms, machine learning"
machine learning,"natural language understanding (nlu), model evaluation, convolutional neural networks (cnn), nlp techniques, r, recurrent neural networks (rnn), natural language processing (nlp), knn"
cyber security,"cyber attack mitigation, security tools, forensics, cism, dlp, security operations"
machine learning,"azure machine learning, numpy, lightgbm, gradient boosting, automl, nlp techniques, data engineering"
data scientist,"artificial neural networks, data visualization, logistic regression, sql queries, algorithm development, graph analytics"
machine learning,"edge ai, xgboost, machine learning operations (mlops), model evaluation, speech recognition"
cloud engineer,"networking, cloud databases, aws lambda, vpc, cloud cost optimization, big data on cloud, cloud apis, api integration"
mobile application developer,"swift, android studio, git, react native, uikit"
artificial intelligence,"cloud-based ai, model evaluation, computer vision, python, ai in iot, ai-driven analytics, ai for robotics, supervised learning, quantum ai"
software engineer,"css, hadoop, graphql, ui/ux design, opencv"
artificial intelligence,"aws, cloud computing, bayesian inference, artificial neural networks (ann), ai for finance, ai software development, ai productization, support vector machines (svm), ai in gaming"
backend developer,"ci/cd, serverless, git, azure, spring cloud, database management"
machine learning,"generative adversarial networks (gans), reinforcement learning algorithms, time series forecasting, natural language processing (nlp), transfer learning, edge ai, model optimization, recurrent neural networks (rnn), data science"
iot developer,"fpga, iot protocols, network protocols, iot sensors, iot solutions, edge computing, big data analytics, c++, sensor networks"
artificial intelligence,"gradient boosting, ai in iot, ai for healthcare, lightgbm, data science, graph neural networks (gnn), ai for robotics, speech recognition, ai productization"
software engineer,"kubernetes, java, pytorch, terraform, github, cloudformation, jpa, tensorflow, security, spring boot"
full stack developer,"responsive design, serverless architecture, database design, linux, jquery, svelte, api integration, behavior-driven development, php"
cyber security,"threat detection, compliance auditing, cyber attack mitigation, authorization, cloudflare, forensics, penetration testing"
artificial intelligence,"natural language processing, ai in gaming, ai ethics, logistic regression, ai model interpretability, neural networks, machine learning, model evaluation"
cyber security,"cloud security, firewalls configuration, incident response, owasp, kali linux, security policies"
big data engineer,"hadoop ecosystem, real-time processing, data redundancy, apache hive, spark streaming, aws emr, big data analytics, elasticsearch"
full stack developer,"containerization, api integration, mysql, angular, web development, php"
cyber security,"firewalls configuration, malware analysis, security operations, blue teaming, firewalls, penetration testing, security risk analysis, cisa, encryption"
backend developer,"junit testing, apache kafka, postgresql, api gateway, full-stack development, rest apis, database troubleshooting, junit"
network engineer,"network performance optimization, ipv6, snmp, mpls, qos"
software engineer,"opencv, aws, distributed systems, postgresql, vue.js, javascript (typescript), pandas, linux, oauth"
iot developer,"spi, big data analytics, rtos, java, communication protocols, edge data processing, fog computing"
cloud engineer,"cloud apis, cloud automation, security groups, google cloud platform (gcp), cloud backup"
big data engineer,"yarn, cloud computing, apache flink, data management tools, apache hbase, etl pipelines, kubernetes, docker"
big data engineer,"sql, nosql, apache storm, big data security, hdfs, apache nifi, apache kafka, google cloud platform, data engineering"
cyber security,"red teaming, identity and access management (iam), fireeye, penetration testing, aws security"
machine learning,"model training, natural language understanding (nlu), ml systems, support vector machines (svm), model explainability, nlp techniques, aws sagemaker, r"
full stack developer,"python, jquery, web performance optimization, typescript, api integration, nosql, mongodb, mobile development, html5, database design"
artificial intelligence,"data visualization, catboost, ai optimization, ai model interpretability, supervised learning, artificial neural networks (ann), support vector machines (svm)"
network engineer,"remote access networks, aws networking, wireshark, sdn, tcp/ip, ip addressing, nat, network backbone, packet tracer"
database developer,"cloud database, data storage solutions, t-sql, couchdb, database backup, backup and restore, nosql databases, redis"
artificial intelligence,"deep learning, cloud-based ai, mlflow, ai model deployment, generative models, natural language understanding (nlu), pytorch, supervised learning, ai optimization"
ui/ux designer,"invision, sketch, illustrator, css grid, css flexbox"
backend developer,"graphql apis, apis, aws lambda, elasticsearch, load balancing, distributed systems"
backend developer,"azure, behavior-driven development, containerization, event-driven architecture, distributed caching, sql, ruby"
database developer,"t-sql, graph databases, sql, json, azure sql database"
cloud engineer,"git, cloud migration, cloud load balancing, azure, devops, google cloud platform (gcp)"
full stack developer,"express.js, mobile web development, mysql, ci/cd, sql, redux"
cloud engineer,"cloud services, ci/cd pipelines, cloud performance, cloud migration, git, cloud data integration, containers, serverless architecture"
data analyst,"azure, data science, big data, matplotlib, dax, sql queries, data mining, business intelligence"
network engineer,"network design, network simulation, ipv4, data center networking, wi-fi, site-to-site vpn"
backend developer,"caching strategies, test automation, oauth2, node.js, database design, kubernetes, docker compose"
network engineer,"routing protocols, sd-wan, network performance optimization, network monitoring, tcp optimization, data center networking, network virtualization, cisco ccna, ntp, switching"
artificial intelligence,"natural language processing, model deployment, scikit-learn, transfer learning, support vector machines (svm), speech recognition"
backend developer,"azure, mongodb, event-driven architecture, jwt authentication, graphql"
network engineer,"remote access networks, palo alto networks, wireless standards, juniper networks, aws networking, network automation"
database developer,"db2, xml, backup and restore, cloud database, olap, database query optimization, big data"
iot developer,"network programming, raspberry pi, sensors, machine learning, web of things (wot), azure iot"
artificial intelligence,"gans, artificial neural networks (ann), machine learning operations (mlops), data wrangling, ai in autonomous vehicles, ai ethics"
database developer,"backup and restore, azure sql database, data privacy, json, database indexing, database backup, sql reporting, data structures, db2, sql injection prevention"
artificial intelligence,"cloud-based ai, ai model deployment, cloud computing, keras, aws, matplotlib, recurrent neural networks (rnn), ai ethics, unsupervised learning"
iot developer,"iot protocols, data mining, iot sensors, iot cloud analytics, java, thingspeak"
ui/ux designer,"ux/ui strategy, ux analytics, accessibility standards, miro, agile, figma prototyping, design systems"
software engineer,"swiftui, jpa, ansible, html, postgresql, graphql, pandas, gcp, sql"
iot developer,"embedded c, edge-to-cloud communication, json, machine learning, javascript"
data scientist,"pytorch, data pipelines, deep learning, modeling, seaborn, supervised learning, jupyter notebooks, unsupervised learning, logistic regression"
cloud engineer,"azure, containers, cloud load balancing, cloudformation, cloud performance, puppet, cloud apis, service mesh, scripting"
software engineer,"mysql, trello, graphql, ui/ux design, jira, hadoop, ansible, oauth2, real-time operating systems, kotlin"
data scientist,"graph analytics, pytorch, data wrangling, time series analysis, dimensional modeling, predictive modeling, azure, numpy, jupyter notebooks"
information technology,"kubernetes, sql, apache, c#, automation, jenkins, server configuration, javascript, vmware vsphere"
machine learning,"clustering, reinforcement learning algorithms, google cloud ai, pca (principal component analysis), aws sagemaker, artificial intelligence, machine learning operations (mlops), linear regression"
software engineer,"trello, scikit-learn, swift, kafka, java, python, monitoring, selenium, numpy"
iot developer,"device connectivity, network programming, sensors, microcontrollers, data mining, rest apis, blockchain (iot), fpga"
web developer,"ruby, version control, vue.js, seo, react"
web developer,"ui testing, nginx, bootstrap, html, node.js, performance optimization, seo, test automation, postgresql, cross-browser compatibility"
